     0   -0.2188200970E-02
     1   -0.1958368615E-02
     2   -0.1733739022E-02
     3   -0.1514298371E-02
     4   -0.1300033505E-02
     5   -0.1090932002E-02
     6   -0.8869822585E-03
     7   -0.6881735833E-03
     8   -0.4944963062E-03
     9   -0.3059419017E-03
    10   -0.1225031307E-03
    11    0.5582579478E-04
    12    0.2290490201E-03
    13    0.3971688243E-03
    14    0.5601853566E-03
    15    0.7180963236E-03
    16    0.8708966155E-03
    17    0.1018577856E-02
    18    0.1161127853E-02
    19    0.1298529927E-02
    20    0.1430762068E-02
    21    0.1557795879E-02
    22    0.1679595219E-02
    23    0.1796114438E-02
    24    0.1907296020E-02
    25    0.2013067384E-02
    26    0.2113336396E-02
    27    0.2207984851E-02
    28    0.2296858623E-02
    29    0.2379751910E-02
    30    0.2456380177E-02
    31    0.2526328773E-02
    32    0.2588939066E-02
    33    0.2642974731E-02
    34    0.2684664592E-02
