     0   -0.2111716939E-01
     1   -0.1999928919E-01
     2   -0.1889836951E-01
     3   -0.1781658386E-01
     4   -0.1675429258E-01
     5   -0.1571154537E-01
     6   -0.1468878094E-01
     7   -0.1368639309E-01
     8   -0.1270458432E-01
     9   -0.1174421168E-01
    10   -0.1080578988E-01
    11   -0.9889762703E-02
    12   -0.8997073928E-02
    13   -0.8128335717E-02
    14   -0.7284557315E-02
    15   -0.6466334375E-02
    16   -0.5674993483E-02
    17   -0.4911464494E-02
    18   -0.4177076512E-02
    19   -0.3473231384E-02
    20   -0.2801454511E-02
    21   -0.2163660687E-02
    22   -0.1561804539E-02
    23   -0.9983189229E-03
    24   -0.4759447262E-03
