     0   -0.2273545090E-01
     1   -0.2182265340E-01
     2   -0.2092206164E-01
     3   -0.2003380449E-01
     4   -0.1915802205E-01
     5   -0.1829486745E-01
     6   -0.1744450812E-01
     7   -0.1660712713E-01
     8   -0.1578292444E-01
     9   -0.1497211833E-01
    10   -0.1417494698E-01
    11   -0.1339167019E-01
    12   -0.1262257127E-01
    13   -0.1186795912E-01
    14   -0.1112817043E-01
    15   -0.1040357211E-01
    16   -0.9694563858E-02
    17   -0.9001581087E-02
    18   -0.8325098039E-02
    19   -0.7665631319E-02
    20   -0.7023743824E-02
    21   -0.6400049172E-02
    22   -0.5795216710E-02
    23   -0.5209977205E-02
    24   -0.4645129319E-02
    25   -0.4101547028E-02
    26   -0.3580188138E-02
    27   -0.3082104143E-02
    28   -0.2608451750E-02
    29   -0.2160506618E-02
    30   -0.1739680204E-02
    31   -0.1347541463E-02
    32   -0.9858467727E-03
    33   -0.6565850250E-03
    34   -0.3620526129E-03
    35   -0.1049912545E-03
    36    0.1111257841E-03
    37    0.2812938172E-03
