     0   -0.6607133812E-02
     1   -0.6152250441E-02
     2   -0.5714591362E-02
     3   -0.5293943451E-02
     4   -0.4890091702E-02
     5   -0.4502819252E-02
     6   -0.4131907413E-02
     7   -0.3777135728E-02
     8   -0.3438282036E-02
     9   -0.3115122566E-02
    10   -0.2807432057E-02
    11   -0.2514983918E-02
    12   -0.2237550426E-02
    13   -0.1974902991E-02
    14   -0.1726812497E-02
    15   -0.1493049741E-02
    16   -0.1273386012E-02
    17   -0.1067593845E-02
    18   -0.8754480397E-03
    19   -0.6967270197E-03
    20   -0.5312147158E-03
    21   -0.3787032004E-03
    22   -0.2389964889E-03
    23   -0.1119161985E-03
    24    0.2689666544E-05
    25    0.1049323324E-03
    26    0.1948569554E-03
    27    0.2723933809E-03
    28    0.3372441535E-03
    29    0.3885456234E-03
    30    0.4230592899E-03
