     0   -0.6911857561E-02
     1   -0.6657262632E-02
     2   -0.6408458715E-02
     3   -0.6165395860E-02
     4   -0.5928023740E-02
     5   -0.5696291650E-02
     6   -0.5470148497E-02
     7   -0.5249542800E-02
     8   -0.5034422682E-02
     9   -0.4824735866E-02
    10   -0.4620429665E-02
    11   -0.4421450986E-02
    12   -0.4227746314E-02
    13   -0.4039261716E-02
    14   -0.3855942828E-02
    15   -0.3677734855E-02
    16   -0.3504582562E-02
    17   -0.3336430273E-02
    18   -0.3173221860E-02
    19   -0.3014900741E-02
    20   -0.2861409876E-02
    21   -0.2712691757E-02
    22   -0.2568688411E-02
    23   -0.2429341384E-02
    24   -0.2294591748E-02
    25   -0.2164380088E-02
    26   -0.2038646499E-02
    27   -0.1917330587E-02
    28   -0.1800371458E-02
    29   -0.1687707719E-02
    30   -0.1579277476E-02
    31   -0.1475018328E-02
    32   -0.1374867365E-02
    33   -0.1278761172E-02
    34   -0.1186635824E-02
    35   -0.1098426888E-02
    36   -0.1014069425E-02
    37   -0.9334979964E-03
    38   -0.8566466642E-03
    39   -0.7834490028E-03
    40   -0.7138381075E-03
    41   -0.6477466083E-03
    42   -0.5851066874E-03
    43   -0.5258501019E-03
    44   -0.4699082121E-03
    45   -0.4172120189E-03
    46   -0.3676922107E-03
    47   -0.3212792235E-03
    48   -0.2779033195E-03
    49   -0.2374946882E-03
    50   -0.1999835806E-03
    51   -0.1653004878E-03
    52   -0.1333763837E-03
    53   -0.1041430607E-03
    54   -0.7753360791E-04
    55   -0.5348310932E-04
    56   -0.3192970738E-04
    57   -0.1281629793E-04
    58    0.3906592349E-05
    59    0.1827548956E-04
    60    0.3030285868E-04
    61    0.3994865887E-04
    62    0.4700936705E-04
