     0   -0.3478793366E-02
     1   -0.3206855787E-02
     2   -0.2937912175E-02
     3   -0.2672010740E-02
     4   -0.2409201968E-02
     5   -0.2149538886E-02
     6   -0.1893077301E-02
     7   -0.1639876020E-02
     8   -0.1389997080E-02
     9   -0.1143505994E-02
    10   -0.9004720223E-03
    11   -0.6609684772E-03
    12   -0.4250730795E-03
    13   -0.1928683637E-03
    14    0.3555785087E-04
    15    0.2601119122E-03
    16    0.4806936972E-03
    17    0.6971958608E-03
    18    0.9095029331E-03
    19    0.1117490038E-02
    20    0.1321019309E-02
    21    0.1519918911E-02
    22    0.1713844948E-02
    23    0.1901406623E-02
    24    0.2072129478E-02
