     0   -0.7408089427E-02
     1   -0.6997870863E-02
     2   -0.6601678808E-02
     3   -0.6219331442E-02
     4   -0.5850644902E-02
     5   -0.5495433247E-02
     6   -0.5153508424E-02
     7   -0.4824680213E-02
     8   -0.4508756202E-02
     9   -0.4205541734E-02
    10   -0.3914839868E-02
    11   -0.3636451345E-02
    12   -0.3370174541E-02
    13   -0.3115805429E-02
    14   -0.2873137543E-02
    15   -0.2641961940E-02
    16   -0.2422067169E-02
    17   -0.2213239232E-02
    18   -0.2015261566E-02
    19   -0.1827915015E-02
    20   -0.1650977816E-02
    21   -0.1484225592E-02
    22   -0.1327431351E-02
    23   -0.1180365507E-02
    24   -0.1042795913E-02
    25   -0.9144879167E-03
    26   -0.7952044514E-03
    27   -0.6847061673E-03
    28   -0.5827516189E-03
    29   -0.4890975349E-03
    30   -0.4034992015E-03
    31   -0.3257110143E-03
    32   -0.2554872850E-03
    33   -0.1925834407E-03
    34   -0.1367578739E-03
    35   -0.8777490720E-04
    36   -0.4540982231E-04
    37   -0.9458065282E-05
    38    0.2024593180E-04
    39    0.4378288158E-04
    40    0.6099149078E-04
