     0   -0.2055093588E-01
     1   -0.1970051606E-01
     2   -0.1886126097E-01
     3   -0.1803328526E-01
     4   -0.1721672347E-01
     5   -0.1641171400E-01
     6   -0.1561841216E-01
     7   -0.1483699062E-01
     8   -0.1406764430E-01
     9   -0.1331056531E-01
    10   -0.1256598975E-01
    11   -0.1183417416E-01
    12   -0.1111537892E-01
    13   -0.1040990780E-01
    14   -0.9718081366E-02
    15   -0.9040263592E-02
    16   -0.8376842329E-02
    17   -0.7728250721E-02
    18   -0.7094956684E-02
    19   -0.6477477806E-02
    20   -0.5876380332E-02
    21   -0.5292289037E-02
    22   -0.4725889448E-02
    23   -0.4177936289E-02
    24   -0.3649263163E-02
    25   -0.3140797341E-02
    26   -0.2653559484E-02
    27   -0.2188683764E-02
    28   -0.1747448840E-02
    29   -0.1331288200E-02
    30   -0.9418243571E-03
    31   -0.5809319349E-03
    32   -0.2508041564E-03
