  0.0000000E+00 -1.637998062933420E-002
   1.000000     -1.496927407971342E-002
   2.000000     -1.362175813358138E-002
   3.000000     -1.233657301948296E-002
   4.000000     -1.111285289651251E-002
   5.000000     -9.949726475945947E-003
   6.000000     -8.846317833257802E-003
   7.000000     -7.801747465906659E-003
   8.000000     -6.815133671717452E-003
   9.000000     -5.885594350469691E-003
   10.00000     -5.012249371861600E-003
   11.00000     -4.194223713432796E-003
   12.00000     -3.430651664314235E-003
   13.00000     -2.720682535646854E-003
   14.00000     -2.063488553705951E-003
   15.00000     -1.458276007901221E-003
   16.00000     -9.043014234034614E-004
   17.00000     -4.008958235755756E-004
