     0   -0.7255298532E-03
     1   -0.6548459063E-03
     2   -0.5884089852E-03
     3   -0.5248221488E-03
     4   -0.4643037960E-03
     5   -0.4067534376E-03
     6   -0.3521779367E-03
     7   -0.3006715548E-03
     8   -0.2522726643E-03
     9   -0.2069873231E-03
    10   -0.1648701797E-03
    11   -0.1260061236E-03
    12   -0.9044539639E-04
    13   -0.5823332188E-04
    14   -0.2948028436E-04
    15   -0.4302511361E-05
    16    0.1718892086E-04
    17    0.3471603986E-04
    18    0.4784572788E-04
