     0   -0.5691118262E-03
     1   -0.4972361187E-03
     2   -0.4271680269E-03
     3   -0.3589026824E-03
     4   -0.2924355300E-03
     5   -0.2277623657E-03
     6   -0.1648793826E-03
     7   -0.1037832217E-03
     8   -0.4447103262E-04
     9    0.1305945632E-04
    10    0.6880985534E-04
    11    0.1227810152E-03
    12    0.1749729103E-03
    13    0.2253844980E-03
    14    0.2740135475E-03
    15    0.3208564302E-03
    16    0.3659078592E-03
    17    0.4091605620E-03
    18    0.4506048622E-03
    19    0.4902281375E-03
    20    0.5280141015E-03
    21    0.5639418321E-03
    22    0.5979844194E-03
    23    0.6301070234E-03
    24    0.6602639669E-03
    25    0.6883941617E-03
    26    0.7144134126E-03
    27    0.7382002314E-03
    28    0.7595658707E-03
    29    0.7781744108E-03
    30    0.7931798151E-03
