   J  Sym   #        Energy    g Population Name J Ka Kc     
  10   E+   3       41.1251   21 .00086247  v=0 10  4  6     
  10   E+   4       55.1775   21 .00080626  v=0 10  6  4     
  10   E+   5       74.8773   21 .000733573 v=0 10  8  2     
  10   E+   6      100.2122   21 .000649643 v=0 10 10  0     
  10   E-   1       32.5395   21 .000898724 v=0 10  2  9     
  10   E-   2       41.1236   21 .000862476 v=0 10  4  7     
  10   E-   3       55.1775   21 .00080626  v=0 10  6  5     
  10   E-   4       74.8773   21 .000733573 v=0 10  8  3     
  10   E-   5      100.2122   21 .000649643 v=0 10 10  1     
  10   O+   1       31.2808   21 .000904165 v=0 10  1  9     
  10   O+   2       36.2576   21 .00088284  v=0 10  3  7     
  10   O+   3       47.4433   21 .000836727 v=0 10  5  5     
  10   O+   4       64.3227   21 .000771662 v=0 10  7  3     
  10   O+   5       86.8406   21 .000692669 v=0 10  9  1     
  10   O-   1       29.4570   21 .000912109 v=0 10  1 10     
  10   O-   2       36.2114   21 .000883036 v=0 10  3  8     
  10   O-   3       47.4433   21 .000836727 v=0 10  5  6     
  10   O-   4       64.3227   21 .000771662 v=0 10  7  4     
  10   O-   5       86.8406   21 .000692669 v=0 10  9  2     
  11   E+   1       35.0521   23 .000972527 v=0 11  0 11     
  11   E+   2       39.1766   23 .000953478 v=0 11  2  9     
  11   E+   3       47.1086   23 .000917888 v=0 11  4  7     
  11   E+   4       61.1496   23 .000858113 v=0 11  6  5     
  11   E+   5       80.8459   23 .000780765 v=0 11  8  3     
  11   E+   6      106.1792   23 .000691441 v=0 11 10  1     
  11   E-   1       38.4601   23 .00095676  v=0 11  2 10     
  11   E-   2       47.1053   23 .000917903 v=0 11  4  8     
  11   E-   3       61.1496   23 .000858113 v=0 11  6  6     
  11   E-   4       80.8459   23 .000780765 v=0 11  8  4     
  11   E-   5      106.1792   23 .000691441 v=0 11 10  2     
  11   O+   1       37.3463   23 .000961885 v=0 11  1 10     
  11   O+   2       42.2734   23 .000939422 v=0 11  3  8     
  11   O+   3       53.4190   23 .000890525 v=0 11  5  6     
  11   O+   4       70.2926   23 .000821299 v=0 11  7  4     
  11   O+   5       92.8083   23 .000737233 v=0 11  9  2     
  11   O+   6      120.9584   23 .000644128 v=0 11 11  0     
