   J  Sym   #        Energy    g Population Name J Ka Kc     
  10   E+   3      104.8620   21 .002586863 v=0 10  4  6     
  10   E+   4      142.3020   21 .002161683 v=0 10  6  4     
  10   E+   5      194.7180   21 .001681194 v=0 10  8  2     
  10   E+   6      262.1100   21 .001216889 v=0 10 10  0     
  10   E-   1       82.3980   21 .002881127 v=0 10  2  9     
  10   E-   2      104.8620   21 .002586863 v=0 10  4  7     
  10   E-   3      142.3020   21 .002161683 v=0 10  6  5     
  10   E-   4      194.7180   21 .001681194 v=0 10  8  3     
  10   E-   5      262.1100   21 .001216889 v=0 10 10  1     
  10   O+   1       76.7820   21 .002959781 v=0 10  1  9     
  10   O+   2       91.7580   21 .002754654 v=0 10  3  7     
  10   O+   3      121.7100   21 .002386062 v=0 10  5  5     
  10   O+   4      166.6380   21 .001923552 v=0 10  7  3     
  10   O+   5      226.5420   21 .001443223 v=0 10  9  1     
  10   O-   1       76.7820   21 .002959781 v=0 10  1 10     
  10   O-   2       91.7580   21 .002754654 v=0 10  3  8     
  10   O-   3      121.7100   21 .002386062 v=0 10  5  6     
  10   O-   4      166.6380   21 .001923552 v=0 10  7  4     
  10   O-   5      226.5420   21 .001443223 v=0 10  9  2     
  11   E+   1       89.8920   23 .003044123 v=0 11  0 11     
  11   E+   2       97.3800   23 .002936742 v=0 11  2  9     
  11   E+   3      119.8440   23 .002636798 v=0 11  4  7     
  11   E+   4      157.2840   23 .00220341  v=0 11  6  5     
  11   E+   5      209.7000   23 .001713646 v=0 11  8  3     
  11   E+   6      277.0920   23 .001240379 v=0 11 10  1     
  11   E-   1       97.3800   23 .002936742 v=0 11  2 10     
  11   E-   2      119.8440   23 .002636798 v=0 11  4  8     
  11   E-   3      157.2840   23 .00220341  v=0 11  6  6     
  11   E-   4      209.7000   23 .001713646 v=0 11  8  4     
  11   E-   5      277.0920   23 .001240379 v=0 11 10  2     
  11   O+   1       91.7640   23 .003016915 v=0 11  1 10     
  11   O+   2      106.7400   23 .002807828 v=0 11  3  8     
  11   O+   3      136.6920   23 .002432121 v=0 11  5  6     
  11   O+   4      181.6200   23 .001960683 v=0 11  7  4     
  11   O+   5      241.5240   23 .001471082 v=0 11  9  2     
  11   O+   6      316.4040   23 .001027244 v=0 11 11  0     
  11   O-   1       91.7640   23 .003016915 v=0 11  1 11     
  11   O-   2      106.7400   23 .002807828 v=0 11  3  9     
  11   O-   3      136.6920   23 .002432121 v=0 11  5  7     
  11   O-   4      181.6200   23 .001960683 v=0 11  7  5     
  11   O-   5      241.5240   23 .001471082 v=0 11  9  3     
  11   O-   6      316.4040   23 .001027244 v=0 11 11  1     
  12   E+   1      106.2360   25 .003059372 v=0 12  0 12     
  12   E+   2      113.7240   25 .002951454 v=0 12  2 10     
  12   E+   3      136.1880   25 .002650008 v=0 12  4  8     
  12   E+   4      173.6280   25 .002214448 v=0 12  6  6     
  12   E+   5      226.0440   25 .001722231 v=0 12  8  4     
  12   E+   6      293.4360   25 .001246593 v=0 12 10  2     
  12   E+   7      375.8040   25 .000839779 v=0 12 12  0     
  12   E-   1      113.7240   25 .002951454 v=0 12  2 11     
  12   E-   2      136.1880   25 .002650008 v=0 12  4  9     
  12   E-   3      173.6280   25 .002214448 v=0 12  6  7     
  12   E-   4      226.0440   25 .001722231 v=0 12  8  5     
  12   E-   5      293.4360   25 .001246593 v=0 12 10  3     
  12   E-   6      375.8040   25 .000839779 v=0 12 12  1     
  12   O+   1      108.1080   25 .003032028 v=0 12  1 11     
  12   O+   2      123.0840   25 .002821894 v=0 12  3  9     
  12   O+   3      153.0360   25 .002444305 v=0 12  5  7     
  12   O+   4      197.9640   25 .001970505 v=0 12  7  5     
  12   O+   5      257.8680   25 .001478452 v=0 12  9  3     
  12   O+   6      332.7480   25 .001032391 v=0 12 11  1     
  12   O-   1      108.1080   25 .003032028 v=0 12  1 12     
  12   O-   2      123.0840   25 .002821894 v=0 12  3 10     
  12   O-   3      153.0360   25 .002444305 v=0 12  5  8     
  12   O-   4      197.9640   25 .001970505 v=0 12  7  6     
  12   O-   5      257.8680   25 .001478452 v=0 12  9  4     
  12   O-   6      332.7480   25 .001032391 v=0 12 11  2     
  13   E+   1      123.9420   27 .00303513  v=0 13  0 13     
  13   E+   2      131.4300   27 .002928067 v=0 13  2 11     
  13   E+   3      153.8940   27 .002629009 v=0 13  4  9     
  13   E+   4      191.3340   27 .002196901 v=0 13  6  7     
  13   E+   5      243.7500   27 .001708584 v=0 13  8  5     
  13   E+   6      311.1420   27 .001236715 v=0 13 10  3     
  13   E+   7      393.5100   27 .000833125 v=0 13 12  1     
  13   E-   1      131.4300   27 .002928067 v=0 13  2 12     
  13   E-   2      153.8940   27 .002629009 v=0 13  4 10     
  13   E-   3      191.3340   27 .002196901 v=0 13  6  8     
  13   E-   4      243.7500   27 .001708584 v=0 13  8  6     
  13   E-   5      311.1420   27 .001236715 v=0 13 10  4     
  13   E-   6      393.5100   27 .000833125 v=0 13 12  2     
  13   O+   1      125.8140   27 .003008003 v=0 13  1 12     
  13   O+   2      140.7900   27 .002799533 v=0 13  3 10     
  13   O+   3      170.7420   27 .002424937 v=0 13  5  8     
  13   O+   4      215.6700   27 .001954891 v=0 13  7  6     
  13   O+   5      275.5740   27 .001466736 v=0 13  9  4     
  13   O+   6      350.4540   27 .00102421  v=0 13 11  2     
  13   O+   7      440.3100   27 .000665631 v=0 13 13  0     
  13   O-   1      125.8140   27 .003008003 v=0 13  1 13     
  13   O-   2      140.7900   27 .002799533 v=0 13  3 11     
  13   O-   3      170.7420   27 .002424937 v=0 13  5  9     
  13   O-   4      215.6700   27 .001954891 v=0 13  7  7     
  13   O-   5      275.5740   27 .001466736 v=0 13  9  5     
  13   O-   6      350.4540   27 .00102421  v=0 13 11  3     
  13   O-   7      440.3100   27 .000665631 v=0 13 13  1     
  14   E+   1      143.0100   29 .002975062 v=0 14  0 14     
  14   E+   2      150.4980   29 .002870117 v=0 14  2 12     
  14   E+   3      172.9620   29 .002576978 v=0 14  4 10     
  14   E+   4      210.4020   29 .002153422 v=0 14  6  8     
  14   E+   5      262.8180   29 .001674769 v=0 14  8  6     
  14   E+   6      330.2100   29 .001212239 v=0 14 10  4     
  14   E+   7      412.5780   29 .000816637 v=0 14 12  2     
  14   E+   8      509.9220   29 .000512008 v=0 14 14  0     
  14   E-   1      150.4980   29 .002870117 v=0 14  2 13     
  14   E-   2      172.9620   29 .002576978 v=0 14  4 11     
  14   E-   3      210.4020   29 .002153422 v=0 14  6  9     
  14   E-   4      262.8180   29 .001674769 v=0 14  8  7     
  14   E-   5      330.2100   29 .001212239 v=0 14 10  5     
  14   E-   6      412.5780   29 .000816637 v=0 14 12  3     
  14   E-   7      509.9220   29 .000512008 v=0 14 14  1     
  14   O+   1      144.8820   29 .002948471 v=0 14  1 13     
  14   O+   2      159.8580   29 .002744127 v=0 14  3 11     
  14   O+   3      189.8100   29 .002376945 v=0 14  5  9     
  14   O+   4      234.7380   29 .001916202 v=0 14  7  7     
  14   O+   5      294.6420   29 .001437708 v=0 14  9  5     
  14   O+   6      369.5220   29 .00100394  v=0 14 11  3     
  14   O+   7      459.3780   29 .000652457 v=0 14 13  1     
  14   O-   1      144.8820   29 .002948471 v=0 14  1 14     
  14   O-   2      159.8580   29 .002744127 v=0 14  3 12     
  14   O-   3      189.8100   29 .002376945 v=0 14  5 10     
  14   O-   4      234.7380   29 .001916202 v=0 14  7  8     
  14   O-   5      294.6420   29 .001437708 v=0 14  9  6     
  14   O-   6      369.5220   29 .00100394  v=0 14 11  4     
  14   O-   7      459.3780   29 .000652457 v=0 14 13  2     
  15   E+   1      163.4400   31 .002883416 v=0 15  0 15     
  15   E+   2      170.9280   31 .002781704 v=0 15  2 13     
  15   E+   3      193.3920   31 .002497595 v=0 15  4 11     
