   J  Sym   #        Energy    g Population Name J Ka Kc     
  10   E+   2       15.9330   21 .000386555 v=0 10  2  8     
  10   E+   3       23.6810   21 .000372455 v=0 10  4  6     
  10   E+   4       36.6394   21 .000350012 v=0 10  6  4     
  10   E+   5       54.7827   21 .000320844 v=0 10  8  2     
  10   E+   6       78.1101   21 .000286884 v=0 10 10  0     
  10   E-   1       15.8968   21 .000386622 v=0 10  2  9     
  10   E-   2       23.6810   21 .000372455 v=0 10  4  7     
  10   E-   3       36.6394   21 .000350012 v=0 10  6  5     
  10   E-   4       54.7827   21 .000320844 v=0 10  8  3     
  10   E-   5       78.1101   21 .000286884 v=0 10 10  1     
  10   O+   1       14.1690   21 .000389839 v=0 10  1  9     
  10   O+   2       19.1476   21 .000380641 v=0 10  3  7     
  10   O+   3       29.5120   21 .000362183 v=0 10  5  5     
  10   O+   4       45.0630   21 .000336154 v=0 10  7  3     
  10   O+   5       65.7984   21 .000304334 v=0 10  9  1     
  10   O-   1       13.7297   21 .000390662 v=0 10  1 10     
  10   O-   2       19.1469   21 .000380643 v=0 10  3  8     
  10   O-   3       29.5120   21 .000362183 v=0 10  5  6     
  10   O-   4       45.0630   21 .000336154 v=0 10  7  4     
  10   O-   5       65.7984   21 .000304334 v=0 10  9  2     
  11   E+   1       15.9200   23 .000423396 v=0 11  0 11     
  11   E+   2       18.6082   23 .000417973 v=0 11  2  9     
  11   E+   3       26.3443   23 .00040275  v=0 11  4  7     
  11   E+   4       39.3020   23 .000378483 v=0 11  6  5     
  11   E+   5       57.4451   23 .000346942 v=0 11  8  3     
  11   E+   6       80.7724   23 .00031022  v=0 11 10  1     
  11   E-   1       18.5562   23 .000418077 v=0 11  2 10     
  11   E-   2       26.3442   23 .00040275  v=0 11  4  8     
  11   E-   3       39.3020   23 .000378483 v=0 11  6  6     
  11   E-   4       57.4451   23 .000346942 v=0 11  8  4     
  11   E-   5       80.7724   23 .00031022  v=0 11 10  2     
  11   O+   1       16.8707   23 .00042147  v=0 11  1 10     
  11   O+   2       21.8121   23 .0004116   v=0 11  3  8     
  11   O+   3       32.1748   23 .000391644 v=0 11  5  6     
  11   O+   4       47.7255   23 .000363498 v=0 11  7  4     
  11   O+   5       68.4607   23 .000329089 v=0 11  9  2     
  11   O+   6       94.3801   23 .000290621 v=0 11 11  0     
  11   O-   1       16.3440   23 .000422536 v=0 11  1 11     
  11   O-   2       21.8108   23 .000411602 v=0 11  3  9     
  11   O-   3       32.1748   23 .000391644 v=0 11  5  7     
  11   O-   4       47.7255   23 .000363498 v=0 11  7  5     
  11   O-   5       68.4607   23 .000329089 v=0 11  9  3     
  11   O-   6       94.3801   23 .000290621 v=0 11 11  1     
  12   E+   1       18.8036   25 .000453893 v=0 12  0 12     
  12   E+   2       21.5292   25 .000447998 v=0 12  2 10     
  12   E+   3       29.2498   25 .000431713 v=0 12  4  8     
  12   E+   4       42.2068   25 .000405703 v=0 12  6  6     
  12   E+   5       60.3496   25 .000371894 v=0 12  8  4     
  12   E+   6       83.6768   25 .000332531 v=0 12 10  2     
  12   E+   7      112.1882   25 .000290033 v=0 12 12  0     
  12   E-   1       21.4569   25 .000448154 v=0 12  2 11     
  12   E-   2       29.2498   25 .000431713 v=0 12  4  9     
  12   E-   3       42.2068   25 .000405703 v=0 12  6  7     
  12   E-   4       60.3496   25 .000371894 v=0 12  8  5     
  12   E-   5       83.6768   25 .000332531 v=0 12 10  3     
  12   E-   6      112.1882   25 .000290033 v=0 12 12  1     
  12   O+   1       19.8171   25 .000451692 v=0 12  1 11     
  12   O+   2       24.7194   25 .000441196 v=0 12  3  9     
  12   O+   3       35.0799   25 .00041981  v=0 12  5  7     
  12   O+   4       50.6301   25 .00038964  v=0 12  7  5     
  12   O+   5       71.3652   25 .000352757 v=0 12  9  3     
  12   O+   6       97.2845   25 .000311523 v=0 12 11  1     
  12   O-   1       19.1952   25 .000453041 v=0 12  1 12     
  12   O-   2       24.7172   25 .000441201 v=0 12  3 10     
  12   O-   3       35.0799   25 .00041981  v=0 12  5  8     
  12   O-   4       50.6301   25 .00038964  v=0 12  7  6     
  12   O-   5       71.3652   25 .000352757 v=0 12  9  4     
  12   O-   6       97.2845   25 .000311523 v=0 12 11  2     
  13   E+   1       21.9242   27 .000482922 v=0 13  0 13     
  13   E+   2       24.6964   27 .000476544 v=0 13  2 11     
  13   E+   3       32.3978   27 .000459264 v=0 13  4  9     
  13   E+   4       45.3537   27 .000431596 v=0 13  6  7     
  13   E+   5       63.4962   27 .00039563  v=0 13  8  5     
  13   E+   6       86.8232   27 .000353755 v=0 13 10  3     
  13   E+   7      115.3345   27 .000308545 v=0 13 12  1     
  13   E-   1       24.5986   27 .000476768 v=0 13  2 12     
  13   E-   2       32.3978   27 .000459264 v=0 13  4 10     
  13   E-   3       45.3537   27 .000431596 v=0 13  6  8     
  13   E-   4       63.4962   27 .00039563  v=0 13  8  6     
  13   E-   5       86.8232   27 .000353755 v=0 13 10  4     
  13   E-   6      115.3345   27 .000308545 v=0 13 12  2     
  13   O+   1       23.0078   27 .000480419 v=0 13  1 12     
  13   O+   2       27.8696   27 .000469347 v=0 13  3 10     
  13   O+   3       38.2272   27 .000446602 v=0 13  5  8     
  13   O+   4       53.7768   27 .000414508 v=0 13  7  6     
  13   O+   5       74.5117   27 .000375272 v=0 13  9  4     
  13   O+   6      100.4309   27 .000331406 v=0 13 11  2     
  13   O+   7      131.5342   27 .000285481 v=0 13 13  0     
  13   O-   1       22.2832   27 .000482092 v=0 13  1 13     
  13   O-   2       27.8661   27 .000469355 v=0 13  3 11     
  13   O-   3       38.2272   27 .000446602 v=0 13  5  9     
  13   O-   4       53.7768   27 .000414508 v=0 13  7  7     
  13   O-   5       74.5117   27 .000375272 v=0 13  9  5     
  13   O-   6      100.4309   27 .000331406 v=0 13 11  3     
  13   O-   7      131.5342   27 .000285481 v=0 13 13  1     
  14   E+   1       25.2809   29 .000510411 v=0 14  0 14     
  14   E+   2       28.1103   29 .000503532 v=0 14  2 12     
  14   E+   3       35.7883   29 .000485327 v=0 14  4 10     
  14   E+   4       48.7429   29 .000456092 v=0 14  6  8     
  14   E+   5       66.8849   29 .000418086 v=0 14  8  6     
  14   E+   6       90.2117   29 .000373835 v=0 14 10  4     
  14   E+   7      118.7229   29 .000326058 v=0 14 12  2     
  14   E+   8      152.4182   29 .000277404 v=0 14 14  0     
  14   E-   1       27.9813   29 .000503843 v=0 14  2 13     
  14   E-   2       35.7882   29 .000485328 v=0 14  4 11     
  14   E-   3       48.7429   29 .000456092 v=0 14  6  9     
  14   E-   4       66.8849   29 .000418086 v=0 14  8  7     
  14   E-   5       90.2117   29 .000373835 v=0 14 10  5     
  14   E-   6      118.7229   29 .000326058 v=0 14 12  3     
  14   E-   7      152.4182   29 .000277404 v=0 14 14  1     
  14   O+   1       26.4426   29 .000507575 v=0 14  1 13     
  14   O+   2       31.2629   29 .000495976 v=0 14  3 11     
  14   O+   3       41.6167   29 .000471949 v=0 14  5  9     
  14   O+   4       57.1657   29 .000438035 v=0 14  7  7     
  14   O+   5       77.9002   29 .000396572 v=0 14  9  5     
  14   O+   6      103.8193   29 .000350217 v=0 14 11  3     
  14   O+   7      134.9225   29 .000301685 v=0 14 13  1     
  14   O-   1       25.6078   29 .000509611 v=0 14  1 14     
  14   O-   2       31.2577   29 .000495988 v=0 14  3 12     
  14   O-   3       41.6167   29 .000471949 v=0 14  5 10     
  14   O-   4       57.1657   29 .000438035 v=0 14  7  8     
  14   O-   5       77.9002   29 .000396572 v=0 14  9  6     
  14   O-   6      103.8193   29 .000350217 v=0 14 11  4     
  14   O-   7      134.9225   29 .000301685 v=0 14 13  2     
  15   E+   1       28.8731   31 .000536292 v=0 15  0 15     
  15   E+   2       31.7713   31 .00052889  v=0 15  2 13     
  15   E+   3       39.4213   31 .000509837 v=0 15  4 11     
  15   E+   4       52.3742   31 .000479129 v=0 15  6  9     
  15   E+   5       70.5157   31 .000439205 v=0 15  8  7     
  15   E+   6       93.8424   31 .000392718 v=0 15 10  5     
  15   E+   7      122.3534   31 .000342529 v=0 15 12  3     
  15   E+   8      156.0486   31 .000291417 v=0 15 14  1     
  15   E-   1       31.6046   31 .000529313 v=0 15  2 14     
  15   E-   2       39.4211   31 .000509838 v=0 15  4 12     
  15   E-   3       52.3742   31 .000479129 v=0 15  6 10     
  15   E-   4       70.5157   31 .000439205 v=0 15  8  8     
  15   E-   5       93.8424   31 .000392718 v=0 15 10  6     
  15   E-   6      122.3534   31 .000342529 v=0 15 12  4     
  15   E-   7      156.0486   31 .000291417 v=0 15 14  2     
  15   O+   1       30.1210   31 .000533093 v=0 15  1 14     
  15   O+   2       34.8997   31 .000521014 v=0 15  3 12     
  15   O+   3       45.2487   31 .000495786 v=0 15  5 10     
  15   O+   4       60.7967   31 .000460161 v=0 15  7  8     
  15   O+   5       81.5310   31 .000416604 v=0 15  9  6     
  15   O+   6      107.4498   31 .000367908 v=0 15 11  4     
