   J  Sym   #        Energy    g Population Name J Ka Kc     
  10   E+   3      583.9900   21 .002906354 v=0 10  4  6     
  10   E+   4      583.9900   21 .002906354 v=0 10  6  4     
  10   E+   5      583.9900   21 .002906354 v=0 10  8  2     
  10   E+   6      583.9900   21 .002906354 v=0 10 10  0     
  10   E-   1      583.9900   21 .002906354 v=0 10  2  9     
  10   E-   2      583.9900   21 .002906354 v=0 10  4  7     
  10   E-   3      583.9900   21 .002906354 v=0 10  6  5     
  10   E-   4      583.9900   21 .002906354 v=0 10  8  3     
  10   E-   5      583.9900   21 .002906354 v=0 10 10  1     
  10   O+   1      583.9900   21 .002906354 v=0 10  1  9     
  10   O+   2      583.9900   21 .002906354 v=0 10  3  7     
  10   O+   3      583.9900   21 .002906354 v=0 10  5  5     
  10   O+   4      583.9900   21 .002906354 v=0 10  7  3     
  10   O+   5      583.9900   21 .002906354 v=0 10  9  1     
  10   O-   1      583.9900   21 .002906354 v=0 10  1 10     
  10   O-   2      583.9900   21 .002906354 v=0 10  3  8     
  10   O-   3      583.9900   21 .002906354 v=0 10  5  6     
  10   O-   4      583.9900   21 .002906354 v=0 10  7  4     
  10   O-   5      583.9900   21 .002906354 v=0 10  9  2     
  11   E+   1      700.7880   23 .001817965 v=0 11  0 11     
  11   E+   2      700.7880   23 .001817965 v=0 11  2  9     
  11   E+   3      700.7880   23 .001817965 v=0 11  4  7     
  11   E+   4      700.7880   23 .001817965 v=0 11  6  5     
  11   E+   5      700.7880   23 .001817965 v=0 11  8  3     
  11   E+   6      700.7880   23 .001817965 v=0 11 10  1     
  11   E-   1      700.7880   23 .001817965 v=0 11  2 10     
  11   E-   2      700.7880   23 .001817965 v=0 11  4  8     
  11   E-   3      700.7880   23 .001817965 v=0 11  6  6     
  11   E-   4      700.7880   23 .001817965 v=0 11  8  4     
  11   E-   5      700.7880   23 .001817965 v=0 11 10  2     
  11   O+   1      700.7880   23 .001817965 v=0 11  1 10     
  11   O+   2      700.7880   23 .001817965 v=0 11  3  8     
  11   O+   3      700.7880   23 .001817965 v=0 11  5  6     
  11   O+   4      700.7880   23 .001817965 v=0 11  7  4     
  11   O+   5      700.7880   23 .001817965 v=0 11  9  2     
  11   O+   6      700.7880   23 .001817965 v=0 11 11  0     
  11   O-   1      700.7880   23 .001817965 v=0 11  1 11     
  11   O-   2      700.7880   23 .001817965 v=0 11  3  9     
  11   O-   3      700.7880   23 .001817965 v=0 11  5  7     
  11   O-   4      700.7880   23 .001817965 v=0 11  7  5     
  11   O-   5      700.7880   23 .001817965 v=0 11  9  3     
  11   O-   6      700.7880   23 .001817965 v=0 11 11  1     
  12   E+   1      828.2040   25 .001072533 v=0 12  0 12     
  12   E+   2      828.2040   25 .001072533 v=0 12  2 10     
  12   E+   3      828.2040   25 .001072533 v=0 12  4  8     
  12   E+   4      828.2040   25 .001072533 v=0 12  6  6     
  12   E+   5      828.2040   25 .001072533 v=0 12  8  4     
  12   E+   6      828.2040   25 .001072533 v=0 12 10  2     
  12   E+   7      828.2040   25 .001072533 v=0 12 12  0     
  12   E-   1      828.2040   25 .001072533 v=0 12  2 11     
  12   E-   2      828.2040   25 .001072533 v=0 12  4  9     
  12   E-   3      828.2040   25 .001072533 v=0 12  6  7     
  12   E-   4      828.2040   25 .001072533 v=0 12  8  5     
  12   E-   5      828.2040   25 .001072533 v=0 12 10  3     
  12   E-   6      828.2040   25 .001072533 v=0 12 12  1     
  12   O+   1      828.2040   25 .001072533 v=0 12  1 11     
  12   O+   2      828.2040   25 .001072533 v=0 12  3  9     
  12   O+   3      828.2040   25 .001072533 v=0 12  5  7     
  12   O+   4      828.2040   25 .001072533 v=0 12  7  5     
  12   O+   5      828.2040   25 .001072533 v=0 12  9  3     
  12   O+   6      828.2040   25 .001072533 v=0 12 11  1     
  12   O-   1      828.2040   25 .001072533 v=0 12  1 12     
  12   O-   2      828.2040   25 .001072533 v=0 12  3 10     
  12   O-   3      828.2040   25 .001072533 v=0 12  5  8     
  12   O-   4      828.2040   25 .001072533 v=0 12  7  6     
  12   O-   5      828.2040   25 .001072533 v=0 12  9  4     
  12   O-   6      828.2040   25 .001072533 v=0 12 11  2     
  13   E+   1      966.2380   27 .000597491 v=0 13  0 13     
  13   E+   2      966.2380   27 .000597491 v=0 13  2 11     
  13   E+   3      966.2380   27 .000597491 v=0 13  4  9     
  13   E+   4      966.2380   27 .000597491 v=0 13  6  7     
  13   E+   5      966.2380   27 .000597491 v=0 13  8  5     
  13   E+   6      966.2380   27 .000597491 v=0 13 10  3     
  13   E+   7      966.2380   27 .000597491 v=0 13 12  1     
  13   E-   1      966.2380   27 .000597491 v=0 13  2 12     
  13   E-   2      966.2380   27 .000597491 v=0 13  4 10     
  13   E-   3      966.2380   27 .000597491 v=0 13  6  8     
  13   E-   4      966.2380   27 .000597491 v=0 13  8  6     
  13   E-   5      966.2380   27 .000597491 v=0 13 10  4     
  13   E-   6      966.2380   27 .000597491 v=0 13 12  2     
  13   O+   1      966.2380   27 .000597491 v=0 13  1 12     
  13   O+   2      966.2380   27 .000597491 v=0 13  3 10     
  13   O+   3      966.2380   27 .000597491 v=0 13  5  8     
  13   O+   4      966.2380   27 .000597491 v=0 13  7  6     
  13   O+   5      966.2380   27 .000597491 v=0 13  9  4     
  13   O+   6      966.2380   27 .000597491 v=0 13 11  2     
  13   O+   7      966.2380   27 .000597491 v=0 13 13  0     
  13   O-   1      966.2380   27 .000597491 v=0 13  1 13     
  13   O-   2      966.2380   27 .000597491 v=0 13  3 11     
  13   O-   3      966.2380   27 .000597491 v=0 13  5  9     
  13   O-   4      966.2380   27 .000597491 v=0 13  7  7     
  13   O-   5      966.2380   27 .000597491 v=0 13  9  5     
  13   O-   6      966.2380   27 .000597491 v=0 13 11  3     
  13   O-   7      966.2380   27 .000597491 v=0 13 13  1     
  14   E+   1     1114.8900   29 .000314592 v=0 14  0 14     
  14   E+   2     1114.8900   29 .000314592 v=0 14  2 12     
  14   E+   3     1114.8900   29 .000314592 v=0 14  4 10     
  14   E+   4     1114.8900   29 .000314592 v=0 14  6  8     
  14   E+   5     1114.8900   29 .000314592 v=0 14  8  6     
  14   E+   6     1114.8900   29 .000314592 v=0 14 10  4     
  14   E+   7     1114.8900   29 .000314592 v=0 14 12  2     
  14   E+   8     1114.8900   29 .000314592 v=0 14 14  0     
  14   E-   1     1114.8900   29 .000314592 v=0 14  2 13     
  14   E-   2     1114.8900   29 .000314592 v=0 14  4 11     
  14   E-   3     1114.8900   29 .000314592 v=0 14  6  9     
  14   E-   4     1114.8900   29 .000314592 v=0 14  8  7     
  14   E-   5     1114.8900   29 .000314592 v=0 14 10  5     
  14   E-   6     1114.8900   29 .000314592 v=0 14 12  3     
  14   E-   7     1114.8900   29 .000314592 v=0 14 14  1     
  14   O+   1     1114.8900   29 .000314592 v=0 14  1 13     
  14   O+   2     1114.8900   29 .000314592 v=0 14  3 11     
  14   O+   3     1114.8900   29 .000314592 v=0 14  5  9     
  14   O+   4     1114.8900   29 .000314592 v=0 14  7  7     
  14   O+   5     1114.8900   29 .000314592 v=0 14  9  5     
  14   O+   6     1114.8900   29 .000314592 v=0 14 11  3     
  14   O+   7     1114.8900   29 .000314592 v=0 14 13  1     
  14   O-   1     1114.8900   29 .000314592 v=0 14  1 14     
  14   O-   2     1114.8900   29 .000314592 v=0 14  3 12     
  14   O-   3     1114.8900   29 .000314592 v=0 14  5 10     
  14   O-   4     1114.8900   29 .000314592 v=0 14  7  8     
  14   O-   5     1114.8900   29 .000314592 v=0 14  9  6     
  14   O-   6     1114.8900   29 .000314592 v=0 14 11  4     
  14   O-   7     1114.8900   29 .000314592 v=0 14 13  2     
  15   E+   1     1274.1600   31 .000156667 v=0 15  0 15     
  15   E+   2     1274.1600   31 .000156667 v=0 15  2 13     
  15   E+   3     1274.1600   31 .000156667 v=0 15  4 11     
  15   E+   4     1274.1600   31 .000156667 v=0 15  6  9     
  15   E+   5     1274.1600   31 .000156667 v=0 15  8  7     
  15   E+   6     1274.1600   31 .000156667 v=0 15 10  5     
  15   E+   7     1274.1600   31 .000156667 v=0 15 12  3     
  15   E+   8     1274.1600   31 .000156667 v=0 15 14  1     
  15   E-   1     1274.1600   31 .000156667 v=0 15  2 14     
  15   E-   2     1274.1600   31 .000156667 v=0 15  4 12     
  15   E-   3     1274.1600   31 .000156667 v=0 15  6 10     
  15   E-   4     1274.1600   31 .000156667 v=0 15  8  8     
  15   E-   5     1274.1600   31 .000156667 v=0 15 10  6     
  15   E-   6     1274.1600   31 .000156667 v=0 15 12  4     
  15   E-   7     1274.1600   31 .000156667 v=0 15 14  2     
  15   O+   1     1274.1600   31 .000156667 v=0 15  1 14     
  15   O+   2     1274.1600   31 .000156667 v=0 15  3 12     
  15   O+   3     1274.1600   31 .000156667 v=0 15  5 10     
  15   O+   4     1274.1600   31 .000156667 v=0 15  7  8     
  15   O+   5     1274.1600   31 .000156667 v=0 15  9  6     
  15   O+   6     1274.1600   31 .000156667 v=0 15 11  4     
  15   O+   7     1274.1600   31 .000156667 v=0 15 13  2     
  15   O+   8     1274.1600   31 .000156667 v=0 15 15  0     
  15   O-   1     1274.1600   31 .000156667 v=0 15  1 15     
  15   O-   2     1274.1600   31 .000156667 v=0 15  3 13     
  15   O-   3     1274.1600   31 .000156667 v=0 15  5 11     
  15   O-   4     1274.1600   31 .000156667 v=0 15  7  9     
  15   O-   5     1274.1600   31 .000156667 v=0 15  9  7     
  15   O-   6     1274.1600   31 .000156667 v=0 15 11  5     
  15   O-   7     1274.1600   31 .000156667 v=0 15 13  3     
  15   O-   8     1274.1600   31 .000156667 v=0 15 15  1     
  16   E+   1     1444.0480   33 7.3838e-5  v=0 16  0 16     
  16   E+   2     1444.0480   33 7.3838e-5  v=0 16  2 14     
  16   E+   3     1444.0480   33 7.3838e-5  v=0 16  4 12     
  16   E+   4     1444.0480   33 7.3838e-5  v=0 16  6 10     
  16   E+   5     1444.0480   33 7.3838e-5  v=0 16  8  8     
  16   E+   6     1444.0480   33 7.3838e-5  v=0 16 10  6     
  16   E+   7     1444.0480   33 7.3838e-5  v=0 16 12  4     
  16   E+   8     1444.0480   33 7.3838e-5  v=0 16 14  2     
  16   E+   9     1444.0480   33 7.3838e-5  v=0 16 16  0     
  16   E-   1     1444.0480   33 7.3838e-5  v=0 16  2 15     
  16   E-   2     1444.0480   33 7.3838e-5  v=0 16  4 13     
  16   E-   3     1444.0480   33 7.3838e-5  v=0 16  6 11     
  16   E-   4     1444.0480   33 7.3838e-5  v=0 16  8  9     
  16   E-   5     1444.0480   33 7.3838e-5  v=0 16 10  7     
  16   E-   6     1444.0480   33 7.3838e-5  v=0 16 12  5     
  16   E-   7     1444.0480   33 7.3838e-5  v=0 16 14  3     
  16   E-   8     1444.0480   33 7.3838e-5  v=0 16 16  1     
  16   O+   1     1444.0480   33 7.3838e-5  v=0 16  1 15     
  16   O+   2     1444.0480   33 7.3838e-5  v=0 16  3 13     
  16   O+   3     1444.0480   33 7.3838e-5  v=0 16  5 11     
  16   O+   4     1444.0480   33 7.3838e-5  v=0 16  7  9     
  16   O+   5     1444.0480   33 7.3838e-5  v=0 16  9  7     
  16   O+   6     1444.0480   33 7.3838e-5  v=0 16 11  5     
  16   O+   7     1444.0480   33 7.3838e-5  v=0 16 13  3     
  16   O+   8     1444.0480   33 7.3838e-5  v=0 16 15  1     
