 N(Quantum Number)       Energy(cm-1)
 0.00000000000000E+0000	 0.00000000000000E+0000
 1.00000000000000E+0000	 7.10000000000000E-0002
 2.00000000000000E+0000	 2.11681526902586E-0001
 3.00000000000000E+0000	 4.19528748524312E-0001
 4.00000000000000E+0000	 6.91345977361594E-0001
 5.00000000000000E+0000	 1.02426119223007E+0000
 6.00000000000000E+0000	 1.41657938755345E+0000
 7.00000000000000E+0000	 1.86779363935941E+0000
 8.00000000000000E+0000	 2.37803475473708E+0000
 9.00000000000000E+0000	 2.94759871953208E+0000
 1.00000000000000E+0001	 3.57674157294140E+0000
 1.10000000000000E+0001	 4.26563727247131E+0000
 1.20000000000000E+0001	 5.01439192571832E+0000
 1.30000000000000E+0001	 5.82306671774208E+0000
 1.40000000000000E+0001	 6.69169587973281E+0000
 1.50000000000000E+0001	 7.62029829865329E+0000
 1.60000000000000E+0001	 8.60888438583559E+0000
 1.70000000000000E+0001	 9.65745994773062E+0000
 1.80000000000000E+0001	 1.07660283042325E+0001
 1.90000000000000E+0001	 1.19345914276635E+0001
 2.00000000000000E+0001	 1.31631505496914E+0001
 2.10000000000000E+0001	 1.44517064843597E+0001
 2.20000000000000E+0001	 1.58002598012503E+0001
 2.30000000000000E+0001	 1.72088109198537E+0001
 2.40000000000000E+0001	 1.86773601624026E+0001
 2.50000000000000E+0001	 2.02059077845849E+0001
 2.60000000000000E+0001	 2.17944539942489E+0001
 2.70000000000000E+0001	 2.34429989634006E+0001
 2.80000000000000E+0001	 2.51515428363088E+0001
 2.90000000000000E+0001	 2.69200857352429E+0001
 3.00000000000000E+0001	 2.87486277646996E+0001
 3.10000000000000E+0001	 3.06371690146145E+0001
 3.20000000000000E+0001	 3.25857095628619E+0001
 3.30000000000000E+0001	 3.45942494772368E+0001
 3.40000000000000E+0001	 3.66627888170473E+0001
 3.50000000000000E+0001	 3.87913276344103E+0001
 3.60000000000000E+0001	 4.09798659753128E+0001
 3.70000000000000E+0001	 4.32284038804901E+0001
 3.80000000000000E+0001	 4.55369413861565E+0001
 3.90000000000000E+0001	 4.79054785246162E+0001
 4.00000000000000E+0001	 5.03340153247779E+0001
 4.10000000000000E+0001	 5.28225518125906E+0001
 4.20000000000000E+0001	 5.53710880114125E+0001
 4.30000000000000E+0001	 5.79796239423276E+0001
 4.40000000000000E+0001	 6.06481596244156E+0001
 4.50000000000000E+0001	 6.33766950749850E+0001
 4.60000000000000E+0001	 6.61652303097741E+0001
 4.70000000000000E+0001	 6.90137653431253E+0001
 4.80000000000000E+0001	 7.19223001881364E+0001
 4.90000000000000E+0001	 7.48908348567931E+0001
 5.00000000000000E+0001	 7.79193693600846E+0001
 5.10000000000000E+0001	 8.10079037081049E+0001
 5.20000000000000E+0001	 8.41564379101426E+0001
 5.30000000000000E+0001	 8.73649719747593E+0001
 5.40000000000000E+0001	 9.06335059098597E+0001
 5.50000000000000E+0001	 9.39620397227532E+0001
 5.60000000000000E+0001	 9.73505734202091E+0001
 5.70000000000000E+0001	 1.00799107008505E+0002
 5.80000000000000E+0001	 1.04307640493473E+0002
 5.90000000000000E+0001	 1.07876173880535E+0002
 6.00000000000000E+0001	 1.11504707174741E+0002
 6.10000000000000E+0001	 1.15193240380798E+0002
 6.20000000000000E+0001	 1.18941773503101E+0002
 6.30000000000000E+0001	 1.22750306545759E+0002
 6.40000000000000E+0001	 1.26618839512613E+0002
 6.50000000000000E+0001	 1.30547372407265E+0002
 6.60000000000000E+0001	 1.34535905233087E+0002
 6.70000000000000E+0001	 1.38584437993250E+0002
 6.80000000000000E+0001	 1.42692970690729E+0002
 6.90000000000000E+0001	 1.46861503328323E+0002
 7.00000000000000E+0001	 1.51090035908667E+0002
 7.10000000000000E+0001	 1.55378568434243E+0002
 7.20000000000000E+0001	 1.59727100907394E+0002
 7.30000000000000E+0001	 1.64135633330327E+0002
 7.40000000000000E+0001	 1.68604165705131E+0002
 7.50000000000000E+0001	 1.73132698033777E+0002
 7.60000000000000E+0001	 1.77721230318132E+0002
 7.70000000000000E+0001	 1.82369762559964E+0002
 7.80000000000000E+0001	 1.87078294760947E+0002
 7.90000000000000E+0001	 1.91846826922668E+0002
 8.00000000000000E+0001	 1.96675359046633E+0002
 8.10000000000000E+0001	 2.01563891134273E+0002
 8.20000000000000E+0001	 2.06512423186946E+0002
 8.30000000000000E+0001	 2.11520955205946E+0002
 8.40000000000000E+0001	 2.16589487192499E+0002
 8.50000000000000E+0001	 2.21718019147778E+0002
 8.60000000000000E+0001	 2.26906551072895E+0002
 8.70000000000000E+0001	 2.32155082968912E+0002
 8.80000000000000E+0001	 2.37463614836844E+0002
 8.90000000000000E+0001	 2.42832146677655E+0002
 9.00000000000000E+0001	 2.48260678492268E+0002
 9.10000000000000E+0001	 2.53749210281565E+0002
 9.20000000000000E+0001	 2.59297742046387E+0002
 9.30000000000000E+0001	 2.64906273787539E+0002
 9.40000000000000E+0001	 2.70574805505792E+0002
 9.50000000000000E+0001	 2.76303337201882E+0002
 9.60000000000000E+0001	 2.82091868876515E+0002
 9.70000000000000E+0001	 2.87940400530368E+0002
 9.80000000000000E+0001	 2.93848932164088E+0002
 9.90000000000000E+0001	 2.99817463778296E+0002
 1.00000000000000E+0002	 3.05845995373589E+0002
 1.00000000000000E+0000	 1.45000000000000E-0001
 2.00000000000000E+0000	 2.98000000000000E-0001
 3.00000000000000E+0000	 5.26620434244502E-0001
 4.00000000000000E+0000	 8.29664225489045E-0001
 5.00000000000000E+0000	 1.20530838561174E+0000
