   J  Sym   #        Energy    g Population Name J Ka Kc     
   9   O-   4       30.0562   19 .00014972  v=0  9  7  3     
   9   O-   5       45.8640   19 .000138788 v=0  9  9  1     
  10   E+   1        7.1380   21 .000184705 v=0 10  0 10     
  10   E+   2        9.1362   21 .000182944 v=0 10  2  8     
  10   E+   3       15.0550   21 .000177824 v=0 10  4  6     
  10   E+   4       24.9345   21 .000169595 v=0 10  6  4     
  10   E+   5       38.7662   21 .000158709 v=0 10  8  2     
  10   E+   6       56.5500   21 .000145734 v=0 10 10  0     
  10   E-   1        9.1243   21 .000182954 v=0 10  2  9     
  10   E-   2       15.0550   21 .000177824 v=0 10  4  7     
  10   E-   3       24.9345   21 .000169595 v=0 10  6  5     
  10   E-   4       38.7662   21 .000158709 v=0 10  8  3     
  10   E-   5       56.5500   21 .000145734 v=0 10 10  1     
  10   O+   1        7.7511   21 .000184163 v=0 10  1  9     
  10   O+   2       11.5978   21 .000180796 v=0 10  3  7     
  10   O+   3       19.5007   21 .000174072 v=0 10  5  5     
  10   O+   4       31.3563   21 .000164451 v=0 10  7  3     
  10   O+   5       47.1641   21 .000152444 v=0 10  9  1     
  10   O-   1        7.5312   21 .000184357 v=0 10  1 10     
  10   O-   2       11.5976   21 .000180797 v=0 10  3  8     
  10   O-   3       19.5007   21 .000174072 v=0 10  5  6     
  10   O-   4       31.3563   21 .000164451 v=0 10  7  4     
  10   O-   5       47.1641   21 .000152444 v=0 10  9  2     
  11   E+   1        8.5628   23 .000200919 v=0 11  0 11     
  11   E+   2       10.5707   23 .000198993 v=0 11  2  9     
  11   E+   3       16.4854   23 .000193428 v=0 11  4  7     
  11   E+   4       26.3647   23 .000184477 v=0 11  6  5     
  11   E+   5       40.1964   23 .000172636 v=0 11  8  3     
  11   E+   6       57.9801   23 .000158523 v=0 11 10  1     
  11   E-   1       10.5535   23 .000199009 v=0 11  2 10     
  11   E-   2       16.4854   23 .000193428 v=0 11  4  8     
  11   E-   3       26.3647   23 .000184477 v=0 11  6  6     
  11   E-   4       40.1964   23 .000172636 v=0 11  8  4     
  11   E-   5       57.9801   23 .000158523 v=0 11 10  2     
  11   O+   1        9.2017   23 .000200304 v=0 11  1 10     
  11   O+   2       13.0286   23 .000196661 v=0 11  3  8     
  11   O+   3       20.9309   23 .000189347 v=0 11  5  6     
  11   O+   4       32.7865   23 .000178882 v=0 11  7  4     
  11   O+   5       48.5942   23 .000165822 v=0 11  9  2     
  11   O+   6       68.3540   23 .000150829 v=0 11 11  0     
  11   O-   1        8.9380   23 .000200557 v=0 11  1 11     
  11   O-   2       13.0283   23 .000196661 v=0 11  3  9     
  11   O-   3       20.9309   23 .000189347 v=0 11  5  7     
  11   O-   4       32.7865   23 .000178882 v=0 11  7  5     
  11   O-   5       48.5942   23 .000165822 v=0 11  9  3     
  11   O-   6       68.3540   23 .000150829 v=0 11 11  1     
  12   E+   1       10.1159   25 .000216769 v=0 12  0 12     
  12   E+   2       12.1364   25 .000214679 v=0 12  2 10     
  12   E+   3       18.0459   25 .00020868  v=0 12  4  8     
  12   E+   4       27.9249   25 .000199023 v=0 12  6  6     
  12   E+   5       41.7565   25 .000186249 v=0 12  8  4     
  12   E+   6       59.5403   25 .000171023 v=0 12 10  2     
  12   E+   7       81.2761   25 .000154093 v=0 12 12  0     
  12   E-   1       12.1124   25 .000214703 v=0 12  2 11     
  12   E-   2       18.0459   25 .00020868  v=0 12  4  9     
  12   E-   3       27.9249   25 .000199023 v=0 12  6  7     
  12   E-   4       41.7565   25 .000186249 v=0 12  8  5     
  12   E-   5       59.5403   25 .000171023 v=0 12 10  3     
  12   E-   6       81.2761   25 .000154093 v=0 12 12  1     
  12   O+   1       10.7839   25 .000216076 v=0 12  1 11     
  12   O+   2       14.5896   25 .000212168 v=0 12  3  9     
  12   O+   3       22.4913   25 .000204278 v=0 12  5  7     
  12   O+   4       34.3467   25 .000192987 v=0 12  7  5     
  12   O+   5       50.1544   25 .000178897 v=0 12  9  3     
  12   O+   6       69.9142   25 .000162722 v=0 12 11  1     
  12   O-   1       10.4724   25 .000216399 v=0 12  1 12     
  12   O-   2       14.5891   25 .000212168 v=0 12  3 10     
  12   O-   3       22.4913   25 .000204278 v=0 12  5  8     
  12   O-   4       34.3467   25 .000192987 v=0 12  7  6     
  12   O-   5       50.1544   25 .000178897 v=0 12  9  4     
  12   O-   6       69.9142   25 .000162722 v=0 12 11  2     
  13   E+   1       11.7973   27 .00023223  v=0 13  0 13     
  13   E+   2       13.8336   27 .000229973 v=0 13  2 11     
  13   E+   3       19.7366   27 .000223554 v=0 13  4  9     
  13   E+   4       29.6152   27 .00021321  v=0 13  6  7     
  13   E+   5       43.4467   27 .000199525 v=0 13  8  5     
  13   E+   6       61.2304   27 .000183214 v=0 13 10  3     
  13   E+   7       82.9662   27 .000165077 v=0 13 12  1     
  13   E-   1       13.8010   27 .000230009 v=0 13  2 12     
  13   E-   2       19.7366   27 .000223554 v=0 13  4 10     
  13   E-   3       29.6152   27 .00021321  v=0 13  6  8     
  13   E-   4       43.4467   27 .000199525 v=0 13  8  6     
  13   E-   5       61.2304   27 .000183214 v=0 13 10  4     
  13   E-   6       82.9662   27 .000165077 v=0 13 12  2     
  13   O+   1       12.4976   27 .000231452 v=0 13  1 12     
  13   O+   2       16.2809   27 .00022729  v=0 13  3 10     
  13   O+   3       24.1817   27 .000218839 v=0 13  5  8     
  13   O+   4       36.0369   27 .000206743 v=0 13  7  6     
  13   O+   5       51.8445   27 .000191649 v=0 13  9  4     
  13   O+   6       71.6043   27 .000174321 v=0 13 11  2     
  13   O+   7       95.3161   27 .000155583 v=0 13 13  0     
  13   O-   1       12.1343   27 .000231855 v=0 13  1 13     
  13   O-   2       16.2802   27 .000227291 v=0 13  3 11     
  13   O-   3       24.1817   27 .000218839 v=0 13  5  9     
  13   O-   4       36.0369   27 .000206743 v=0 13  7  7     
  13   O-   5       51.8445   27 .000191649 v=0 13  9  5     
  13   O-   6       71.6043   27 .000174321 v=0 13 11  3     
  13   O-   7       95.3161   27 .000155583 v=0 13 13  1     
  14   E+   1       13.6066   29 .000247278 v=0 14  0 14     
  14   E+   2       15.6625   29 .000244851 v=0 14  2 12     
  14   E+   3       21.5574   29 .000238026 v=0 14  4 10     
  14   E+   4       31.4356   29 .000227012 v=0 14  6  8     
  14   E+   5       45.2669   29 .000212442 v=0 14  8  6     
  14   E+   6       63.0506   29 .000195075 v=0 14 10  4     
  14   E+   7       84.7863   29 .000175764 v=0 14 12  2     
  14   E+   8      110.4741   29 .000155391 v=0 14 14  0     
  14   E-   1       15.6192   29 .000244902 v=0 14  2 13     
  14   E-   2       21.5573   29 .000238026 v=0 14  4 11     
  14   E-   3       31.4356   29 .000227012 v=0 14  6  9     
  14   E-   4       45.2669   29 .000212442 v=0 14  8  7     
  14   E-   5       63.0506   29 .000195075 v=0 14 10  5     
  14   E-   6       84.7863   29 .000175764 v=0 14 12  3     
  14   E-   7      110.4741   29 .000155391 v=0 14 14  1     
  14   O+   1       14.3427   29 .000246406 v=0 14  1 13     
  14   O+   2       18.1026   29 .000242003 v=0 14  3 11     
  14   O+   3       26.0022   29 .000233006 v=0 14  5  9     
  14   O+   4       37.8572   29 .000220128 v=0 14  7  7     
