     0   -0.1195453033E-01
     1   -0.1109634913E-01
     2   -0.1027729877E-01
     3   -0.9496677241E-02
     4   -0.8753771637E-02
     5   -0.8047857868E-02
     6   -0.7378200347E-02
     7   -0.6744051673E-02
     8   -0.6144652311E-02
     9   -0.5579230260E-02
    10   -0.5047000734E-02
    11   -0.4547165836E-02
    12   -0.4078914225E-02
    13   -0.3641420794E-02
    14   -0.3233846365E-02
    15   -0.2855337378E-02
    16   -0.2505025614E-02
    17   -0.2182027925E-02
    18   -0.1885446010E-02
    19   -0.1614366238E-02
    20   -0.1367859530E-02
    21   -0.1144981337E-02
    22   -0.9447717578E-03
    23   -0.7662558415E-03
    24   -0.6084441907E-03
    25   -0.4703340194E-03
    26   -0.3509109500E-03
    27   -0.2491521015E-03
    28   -0.1640315747E-03
    29   -0.9453082515E-04
    30   -0.3966046830E-04
    31    0.1485490843E-05
    32    0.2954330676E-04
